MOF Name,Ref Code,Property,Value,Condition,Summary,Reference
[Cd(μ-tp)(μ-bpp)(H2O)]·nnH2O<|>3,WOCKOP,Water Stability,Stable,,The MOF is insoluble in water and common organic solvents.,10.1021/cg701232n
Zn(LTP)2<|>complex 1,UNABAN,Water Stability,Stable,,The as-synthesized material is insoluble in water and common organic solvents.,10.1021/cg1009175
Ni(LTP)2<|>complex 3,UMUZUY,Water Stability,Stable,,The as-synthesized material is insoluble in water and common organic solvents.,10.1021/cg1009175
ε(trim)<|>ε(trim) 4/3,IZOWAW,Water Stability,Unstable,,"1. ""After 1 h, the broad lines characteristic of the TBA cations have been replaced by the thinner line of the TMA ions showing the success of cation exchange. However, concomitantly to this exchange, it can be noted a decrease of the intensity of the bands corresponding to the C–O vibrations and a modification of the bands characteristic to the Mo=O vibrations, which suggests some decomposition of the POMOF material. The C–O bands have totally disappeared after 6 h. It has not been possible so far to find suitable experimental conditions in which the POMOF framework is maintained and the TBA are exchanged. The weak monodentate coordination modes of the trimesate probably account for this instability.""",10.1021/ja201165c
Ga4(O3PC2H4PO3)3<|>compound 1,MESBAN,Water Stability,Unstable,,The quality of these crystals was not good enough to give satisfying X-ray structure refinements. All attempts to synthesize a pure sample of this compound failed since this phase is relatively unstable under hydrothermal conditions; this is probably due to the presence of a noncoordinated P−OH function that tends to react to form compound 1.,10.1021/ic010588q
MIL-141(Cs)<|>Fe(Ni-TCPP)Cs•(DMF),PAQTIM,Water Stability,Stable,,"while the K-, Rb-, and Cs-based solids are stable under ambient atmosphere, MIL-141(Li) and MIL-141(Na) are sensitive to humidity.",10.1021/cm2025747
"Compound 1<|>Cd(ppene)(1,2-BDC)",IBOPOH,Water Stability,Stable,,"Complexes 1, 2, 4, and 5 are air and moisture stable and insoluble in common organic solvents such as CHCl3, MeOH, MeCN, DMF, and DMSO.",10.1021/acs.cgd.6b01728
"Compound 4<|>Cd(ppene)(1,3,5-HBTC)",IBOQAU,Water Stability,Stable,,"The MOF is insoluble in water and common organic solvents such as CHCl3, MeOH, MeCN, DMF, and DMSO. The elemental analyses are also consistent with their chemical formula.",10.1021/acs.cgd.6b01728
Zn(pymtz)2<|>compound 1,DILDEI01,Water Stability,Unstable,,"When the crystals of compound 2 were immersed in methanol or water at room temperature, they pulverized slowly. The IR band observed at 1683 cm−1 in 2, which is attributable to the ν(C=O) vibration of the DMF guest molecules, disappears in the pulverized sample. Actually, the IR spectrum (Figure S3, Supporting Information) and the PXRD pattern (Figure) of the pulverized sample coincides with those of 1, suggesting that 2 has transformed into 1. In addition, the Na and O peaks observed in the EDS spectra of 2 disappear in the spectra of the pulverized sample (see Figure S4, Supporting Information), further supporting the transformation from 2 to 1. According to the compositions of 1 and 2, the transformation corresponds to the release of an Na+ cation and a pymtz− anion per formula into the solvent. This may be completed through the dissolution and recrystallization processes. The release of Na+ and pymtz− has been confirmed by IR and EDS analysis on the solid residue of the filtrate obtained by filtering off the pulverized solid: the IR spectrum clearly suggested the presence of the pymtz ligand, while the EDS analysis suggested the presence of Na, C and N, with no evident signal of Cd. It is noted that the transformation is solvent selective and does not occur in DMF or ethanol.",10.1021/cg9013398
Zn6(IDC)4(OH)2(Hprz)2<|>1,WIJDAV,Water Stability,Stable,,"MOF1 can adsorb water selectively over organic solvents and can be regenerated and reused. It also represents a rare example of a MOF with open channels that form/collapse reversibly upon hydration/dehydration. The desorption/adsorption experiments can be repeated many times, indicating that the framework of 1 is resilient toward dehydration/hydration. Compound 1 represents a rare example of a MOF with open channels that form/collapse reversibly upon hydration/dehydration. It can be used as a desiccant that adsorbs water molecules very selectively. Compared to traditional molecular sieves that are widely used as desiccants for organic solvents, 1 possesses the following advantages: first, the adsorbed water molecules can be removed under relatively lower temperatures and, second, 1 can selectively adsorb water molecules over organic solvents.",10.1021/ic7004908
C32H18O7N4U<|>compound 1,ASEBAD,Water Stability,Stable,,The compounds 1 and 3 are stable in air and insoluble in water.,10.1021/acs.cgd.6b00429
C60H30O20N6NaU2<|>compound 3,ASECUY,Water Stability,Stable,,The compounds 1 and 3 are stable in air and insoluble in water.,10.1021/acs.cgd.6b00429
CAU-10-OCH3<|>3,CELZIE,Water Stability,Stable,,"1. ""According to these results, the MOFs are stable in a pH-range from 2 to 8. Stirring under more basic conditions does not lead to a complete decomposition, but the pH value is lowered to 8, indicating that the compounds are dissolved until a final pH value of 8 is reached. The treatment in acidic solution (pH of 2), does not lead to additional bands in the IR spectra, indicating that no isophthalic acid derivatives are formed by solvolysis of the MOFs, confirming their stability. Upon treatment with water at 130 °C under stirring for 3 h, no decomposition is observed as well.""",10.1021/cm3025445
[Zn(Me4BPZ)]<|>Species 1,HIQPII,Water Stability,Stable,,"1 is insoluble in alcohols, DMSO, acetone, CH3CN, chlorinated solvents and water.",10.1021/cg400495w
{Co(hfipbb)(L1)0.5}(n1)<|>Compound 1,HEBGUS,Water Stability,Stable,,Complexes 1–6 are air stable and insoluble in water.,10.1021/cg300800h
ZnBr2(BPU)<|>2,NEMJUL,Water Stability,Stable,,The MOF is insoluble in water and common organic solvents. It has a very unique shape and an interesting geometry...,10.1021/ic060958g
[Co5(C6H(COO)5)2(H2O)12]·(H2O)12<|>3-Co,WIYZOU,Water Stability,Unstable,,"Unfortunately, however, all attempts to remove the lattice water and preserve the framework were unsuccessful; the structure was damaged despite the very soft conditions of dehydration, such as room temperature and rough vacuum. Clearly some dehydration occurs at these conditions, as evidenced by the change of color from pale red to dark red, but the structure of the product is damaged to such an extent that it diffracted very poorly and could not be characterized any further. Furthermore, the lattice water is so extensively hydrogen bonded with framework oxygen atoms and coordinated water molecule that exchange with other guest molecules is very unlikely.",10.1021/ic701893z
Sm(O3P-C2H4-SO3)(H2O)<|>compound 1,AMOROK,Water Stability,Unstable,,The dehydrated sample showed a poor crystallinity and could not be rehydrated with water.,10.1021/ic101786r
[Cd(phen)(Hpppn)]·4H2O<|>compound 1<|>1,QARYUE,Water Stability,Stable,,"In addition, dehydrated1can rehydrate upon exposure to water vapor, and XRPD patterns of hydrated1have more similarities to those of the as-synthesized1.All these observations indicate the dehydration and hydration of1are partly reversible.",10.1021/cg0500829
{[Ag3L2(ClO4)2]ClO4}n<|>complex 1,YEPCUS,Water Stability,Stable,,"Complexes 1 and 2 are both insoluble in common solvents; therefore, they are expected to display anion-exchange properties. The solubility of 1 in 0.1 g mL-1 NaClO4 (concentration used in the anion exchange) aqueous solution is 0.0032 mmol L-1. Therefore, the anion exchange reported here is considered to be a solid-state phenomenon.",10.1021/cg0602111
{[Ag3L2(NO3)2]NO3}n<|>complex 2,YEPDAZ,Water Stability,Stable,,"Complexes 1 and 2 are both insoluble in common solvents; therefore, they are expected to display anion-exchange properties. The reversible anion exchange for complex 2 was also carried out in the same way; the results are similar to those for complex 1. The details of anion exchange for complex 2 are not discussed here (see the Supporting Information).",10.1021/cg0602111
NTHU-2,ESIGES,Water Stability,Unstable,,"The solid is stable in air for months, insoluble in common nonpolar solvents, but slightly dissoluble in water. The brown colors on the crystals of NTHU-2 would begin to diminish due to the dissolution of the clumps (Figurea) in the water. Some transparent crystals started to develop around the clumps, grew larger and ampler, and began to suspend in water within days.",10.1021/ja0390146
{[Cd2(Py2TTz)2(BDC)2]·2­(DMF)}(n2)<|>compound 2,LIJHAQ,Water Stability,Stable,,"PXRD patterns of compounds 1 and 2 immersed in water 48 h are slightly different from ones of their as-synthesized samples, but return to their origins after immersion in DMF for 24 h. These results can be explained by the breathing behavior. For the rigid interpenetrated frameworks, subtle differences of guest content and composition will lead to different structures, and this transformation is reversible. Therefore, the slight reversible changes in PXRD patterns of compounds−1 and 2 are caused not by collapse of the framework, but by a solvent effect. That is to say, the frameworks of compounds 1 and 2 remain constant in water solution and are stable enough for aqueous phase detection.",10.1021/acs.cgd.8b01335
{[Ni­(BTC)0.66(BPz)2]­·2MeOH­·4H2O}<|>n1,LUKHOQ,Water Stability,Stable,,"The solvent vapor sorption study of complexes 1–3 shows a stepwise adsorption of water as a function of pressure. As shown in Figure a, compound 1 exhibits a sinusoidal type adsorption curve with a steep rise in adsorption after a pressure threshold of 0.4P/P0 with a saturation uptake of 350 mL g–1, which is greater than the well-known Zn-BTC MOF (208 mL g–1).",10.1021/acs.cgd.5b00056
{[Mn­(BTC)0.66(BPz)2]­·2MeOH­·4H2O}<|>n3,LUKHIK,Water Stability,Stable,,"The solvent vapor sorption study of complexes 1–3 shows a stepwise adsorption of water as a function of pressure. As shown in Figure a, compound 1 exhibits a sinusoidal type adsorption curve with a steep rise in adsorption after a pressure threshold of 0.4P/P0 with a saturation uptake of 350 mL g–1, which is greater than the well-known Zn-BTC MOF (208 mL g–1). Complexes 2 and 3 also show similar types of sinusoidal type adsorption curves (Figure b,c) with large hysteresis resulting from different type of interactions at different pressure points which indicates the presence of two energetically different processes. Similar type of ‘S’ shaped isotherm was also observed in water sorption of MIL-101. The notable hysteresis in the low pressure region indicates that the large polyhedral cages retain some of the water molecules due to the small window aperture. For 2 and 3, the water isotherms are interrupted. This can be attributed to the accumulated water molecules inside the cage which cannot escape easily during the desorption process. Canivet et al. suggested that the interruption can also arise from the weak flexibility of the framework (due to the rotation of the two pyrazole rings in BPz ligand). As compared to high water sorption in 1–3, methanol and ethanol uptake is very less and amounts to nearly or equal to 100 mL g–1 of methanol and 50 mL g–1 of ethanol at 1 atm. The small size of water molecules as compared to methanol or ethanol could be the reason for high uptake of water as there are no open metal or hydrophilic site in 1–3. These studies reveal their possible application as a desiccant material.",10.1021/acs.cgd.5b00056
Mu-21<|>zincophosphate Mu-21,BEJZAS,Water Stability,Unstable,,"1. ""The washing procedure appears to be critical because this zincophosphate transforms into the zincophosphate tetrahydrate hopeite Zn3(PO4)2·4H2O on washing with water.""
2. ""Under wet atmosphere (aqueous NH4Cl saturated solution), Mu-21 adsorbs some water molecules (5 wt %) and is transformed into Mu-19.""",10.1021/cm021330g
