MOF Name,Ref Code,Reference
Cd(L2)(SCN)2<|>compound 10,DUHDOA,10.1021/cg900515j
InEu(BTB)7/3(H2O)2·(DEF)6<|>SMOF-2<|>compound 1,KUNSUJ,10.1021/cm500700z
[AuS2PPh(OC5H9)]2<|>2,OGIJIX,10.1021/ic0201856
[Cd(μ-tp)(μ-bpp)(H2O)]·nnH2O<|>3,WOCKOP,10.1021/cg701232n
[CuBr2(L1)]·nn(MeOH)<|>complex 3,CURYAQ,10.1021/cg901327m
"[FeIII(2,2‘-bpy)(HPO3)(H2PO4)]<|>I",FIZKUV,10.1021/cm049064p
Zn(LTP)2<|>complex 1,UNABAN,10.1021/cg1009175
Ni(LTP)2<|>complex 3,UMUZUY,10.1021/cg1009175
"∞3[SmCl3(1,4-Ph(CN)2)]<|>compound 1",BOLHAM,10.1021/ic800635u
"∞3[GdCl3(1,4-Ph(CN)2)]<|>compound 2",BOLHOA,10.1021/ic800635u
"∞3[TbCl3(1,4-Ph(CN)2)]<|>compound 3",BOLHEQ,10.1021/ic800635u
{[Cd2(HL)2(H2O)4]·6H2O}(n2)<|>compound 2,HESMOK,10.1021/acs.cgd.7b01689
NPC-7-Zn<|>Zn2(TMBDI)(DMF)3,JUXFOZ,10.1021/acsami.5b07953
Er2(BDC)3(DMF)2(H2O)2·H2O<|>compound 1<|>1,RESWUI,10.1021/ic060568u
Er2(BDC-F4)3(DMF)(H2O)·DMF<|>compound 2<|>2,RESWOC,10.1021/ic060568u
[Ag2(mnqu)(NO3)2]<|>compound 3,PICVEE,10.1021/ic400081v
[Et3(n-Pr)P][Cd(dca)3]<|>compound 1,YARZEZ,10.1021/acs.inorgchem.6b02508
[Et3(n-Pr)P][Cd(dca)3]<|>γ-phase,YARZEZ03,10.1021/acs.inorgchem.6b02508
[Et3(n-Pr)P][Cd(dca)3]<|>δ-phase,YARZEZ02,10.1021/acs.inorgchem.6b02508
"{[Co(bpbenz)(4,4′-sdb)]·(H2O)2.75}<|>compound 4",YASNAJ,10.1021/cg2012638
{[CuL]·DMF·H2O}∞<|>compound 1<|>[CuL] (1a),EWUCOP,10.1021/ic1017467
